Anno,Pais,Oro,Plata,Bronce
2015,Argentina,15,29,31
2015,Brasil,42,39,60
2015,Canada,78,70,71
2015,Chile,5,6,18
2015,Cuba,36,27,34
2015,EstadosUnidos,103,82,80
2015,Jamaica,3,4,2
2015,Mexico,22,30,43
2015,Panama,0,1,1
2015,Peru,3,3,6
2015,PuertoRico,1,1,13
2015,Venezuela,8,22,20
2015,GuyanaBritanica,0,0,0
2015,AntiguayBarbuda,0,1,0
2015,AntillasNeerlandesas,,,
2015,Aruba,0,0,0
2015,Bahamas,2,2,2
2015,Barbados,0,1,2
2015,Belice,0,0,0
2015,Bermudas,0,0,1
2015,Bolivia,0,1,2
2015,Colombia,27,14,31
2015,CostaRica,0,0,1
2015,Dominica,0,0,0
2015,Ecuador,7,9,16
2015,ElSalvador,0,1,2
2015,Granada,0,1,0
2015,Guatemala,6,1,3
2015,Guyana,0,0,0
2015,Haiti,0,0,0
2015,Honduras,0,1,0
2015,HondurasBritanica,0,0,0
2015,IslasCaiman,0,0,0
2015,IslasVirgenes,0,0,0
2015,IslasVirgenesAMERICANAS,0,0,0
2015,IslasVirgenesBrotanicas,0,0,0
2015,Nicaragua,0,0,0
2015,Paraguay,0,1,2
2015,RepublicaDominicana,3,11,10
2015,SanCristobalyNieves,0,0,1
2015,SantaLucia,1,0,0
2015,SanVicenteyLasGranadinas,0,0,1
2015,Surinam,0,0,0
2015,TrinidadyTobago,3,3,2
2015,Uruguay,1,1,3
2011,Argentina,21,19,35
2011,Brasil,48,35,58
2011,Canada,30,40,49
2011,Chile,3,16,24
2011,Cuba,58,35,43
2011,EstadosUnidos,92,79,66
2011,Jamaica,1,5,1
2011,Mexico,42,42,50
2011,Panama,0,0,1
2011,Peru,0,2,5
2011,PuertoRico,6,8,8
2011,Venezuela,11,27,33
2011,GuyanaBritanica,0,0,0
2011,AntiguayBarbuda,0,0,0
2011,AntillasNeerlandesas,1,0,1
2011,Aruba,0,0,0
2011,Bahamas,1,1,1
2011,Barbados,0,0,2
2011,Belice,0,0,0
2011,Bermudas,0,0,0
2011,Bolivia,0,0,2
2011,Colombia,24,25,35
2011,CostaRica,1,0,0
2011,Dominica,0,1,0
2011,Ecuador,7,8,9
2011,ElSalvador,0,1,1
2011,Granada,0,0,0
2011,Guatemala,7,3,5
2011,Guyana,0,0,1
2011,Haiti,0,0,0
2011,Honduras,0,0,0
2011,HondurasBritanica,0,0,0
2011,IslasCaiman,1,1,1
2011,IslasVirgenes,0,0,0
2011,IslasVirgenesAMERICANAS,0,0,0
2011,IslasVirgenesBrotanicas,0,0,0
2011,Nicaragua,0,0,0
2011,Paraguay,0,0,2
2011,RepublicaDominicana,7,9,17
2011,SanCristobalyNieves,0,2,0
2011,SantaLucia,0,0,0
2011,SanVicenteyLasGranadinas,0,0,0
2011,Surinam,0,0,0
2011,TrinidadyTobago,0,2,2
2011,Uruguay,0,3,2
2007,Argentina,11,16,33
2007,Brasil,52,40,65
2007,Canada,39,44,55
2007,Chile,6,5,9
2007,Cuba,59,35,41
2007,EstadosUnidos,97,88,52
2007,Jamaica,3,5,1
2007,Mexico,18,24,31
2007,Panama,1,1,0
2007,Peru,0,4,8
2007,PuertoRico,3,6,12
2007,Venezuela,12,23,35
2007,GuyanaBritanica,0,0,0
2007,AntiguayBarbuda,1,0,2
2007,AntillasNeerlandesas,1,0,1
2007,Aruba,0,0,0
2007,Bahamas,2,2,3
2007,Barbados,0,0,1
2007,Belice,0,0,0
2007,Bermudas,0,0,0
2007,Bolivia,0,0,0
2007,Colombia,14,20,13
2007,CostaRica,0,0,0
2007,Dominica,0,0,1
2007,Ecuador,5,4,10
2007,ElSalvador,1,3,6
2007,Granada,0,0,1
2007,Guatemala,2,3,2
2007,Guyana,0,0,1
2007,Haiti,0,0,1
2007,Honduras,0,0,1
2007,HondurasBritanica,0,0,0
2007,IslasCaiman,0,1,0
2007,IslasVirgenes,0,0,0
2007,IslasVirgenesAMERICANAS,0,0,0
2007,IslasVirgenesBrotanicas,0,0,0
2007,Nicaragua,0,0,2
